accuracy,f1,precision,sensitivity,specificity,class_accuracy,best_val_accuracy,best_val_f1,best_val_precision,best_val_sensitivity,best_val_specificity,best_val_class_accuracy,final_accuracy,split,seed,best_epoch,stopped_epoch,epochs_ran,early_stopped,train_subjects,val_subjects,test_subjects,train_count,val_count,test_count
0.34284147010422383,0.319023259923287,0.3684241163078596,0.3540847516678218,0.8349611583575406,0.7371365880416896,0.34284147010422383,0.319023259923287,0.3684241163078596,0.3540847516678218,0.8349611583575406,0.7371365880416896,0.34284147010422383,subject_01,42,2,32,32,True,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",1,1,26664,1823,1823
0.2775644541963796,0.26703929788461894,0.3269352560691471,0.2927927213771211,0.8229504379866764,0.7110257816785519,0.2775644541963796,0.26703929788461894,0.3269352560691471,0.2927927213771211,0.8229504379866764,0.7110257816785519,0.2775644541963796,subject_02,42,5,35,35,True,"1,3,4,5,6,7,8,9,10,11,12,13,14,15,16",2,2,26664,1823,1823
0.35161821173889196,0.3462871507483073,0.34754705472132874,0.3491492812758443,0.8361132627903827,0.7406472846955567,0.35161821173889196,0.3462871507483073,0.34754705472132874,0.3491492812758443,0.8361132627903827,0.7406472846955567,0.35161821173889196,subject_03,42,33,63,63,True,"1,2,4,5,6,7,8,9,10,11,12,13,14,15,16",3,3,26664,1823,1823
0.34448710916072406,0.33511533593901244,0.35196217216713627,0.341106291928449,0.8355922967613794,0.7377948436642896,0.34448710916072406,0.33511533593901244,0.35196217216713627,0.341106291928449,0.8355922967613794,0.7377948436642896,0.34448710916072406,subject_04,42,44,74,74,True,"1,2,3,5,6,7,8,9,10,11,12,13,14,15,16",4,4,26664,1823,1823
0.35436094349972574,0.2825931556142394,0.3516513799629791,0.3179886201825942,0.8287928322028755,0.7417443773998903,0.35436094349972574,0.2825931556142394,0.3516513799629791,0.3179886201825942,0.8287928322028755,0.7417443773998903,0.35436094349972574,subject_05,42,2,32,32,True,"1,2,3,4,6,7,8,9,10,11,12,13,14,15,16",5,5,26664,1823,1823
0.3620405924300603,0.3410845187766872,0.36882279333306506,0.3433176583493814,0.836893067128476,0.7448162369720241,0.3620405924300603,0.3410845187766872,0.36882279333306506,0.3433176583493814,0.836893067128476,0.7448162369720241,0.3620405924300603,subject_06,42,23,53,53,True,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,16",6,6,26664,1823,1823
0.36865148861646235,0.27937597099502126,0.4232241524749356,0.32477078110666363,0.8325853064959665,0.747460595446585,0.36865148861646235,0.27937597099502126,0.4232241524749356,0.32477078110666363,0.8325853064959665,0.747460595446585,0.36865148861646235,subject_07,42,19,49,49,True,"1,2,3,4,5,6,8,9,10,11,12,13,14,15,16",7,7,27345,1142,1142
0.3839824465167307,0.3682773021809292,0.3874623253383849,0.38367690544984717,0.8441917437226598,0.7535929786066923,0.3839824465167307,0.3682773021809292,0.3874623253383849,0.38367690544984717,0.8441917437226598,0.7535929786066923,0.3839824465167307,subject_08,42,34,64,64,True,"1,2,3,4,5,6,7,9,10,11,12,13,14,15,16",8,8,26664,1823,1823
0.3505211190345584,0.2854875618054537,0.30758742655584176,0.33439280227078966,0.835249317851319,0.7402084476138234,0.3505211190345584,0.2854875618054537,0.30758742655584176,0.33439280227078966,0.835249317851319,0.7402084476138234,0.3505211190345584,subject_09,42,1,31,31,True,"1,2,3,4,5,6,7,8,10,11,12,13,14,15,16",9,9,26664,1823,1823
0.24136039495337355,0.2181459292146859,0.23893654967608277,0.258844451977278,0.8132859542445372,0.6965441579813494,0.24136039495337355,0.2181459292146859,0.23893654967608277,0.258844451977278,0.8132859542445372,0.6965441579813494,0.24136039495337355,subject_10,42,55,85,85,True,"1,2,3,4,5,6,7,8,9,11,12,13,14,15,16",10,10,26664,1823,1823
0.27153044432254525,0.2678021679475422,0.30917484367684345,0.28290468185817386,0.8198508743168171,0.7086121777290181,0.27153044432254525,0.2678021679475422,0.30917484367684345,0.28290468185817386,0.8198508743168171,0.7086121777290181,0.27153044432254525,subject_11,42,13,43,43,True,"1,2,3,4,5,6,7,8,9,10,12,13,14,15,16",11,11,26664,1823,1823
0.24136039495337355,0.19105523308621286,0.3143927996505246,0.2206473996862794,0.8039138950514072,0.6965441579813494,0.24136039495337355,0.19105523308621286,0.3143927996505246,0.2206473996862794,0.8039138950514072,0.6965441579813494,0.24136039495337355,subject_12,42,54,84,84,True,"1,2,3,4,5,6,7,8,9,10,11,13,14,15,16",12,12,26664,1823,1823
0.42457487657707077,0.35719894494347454,0.36929626753116984,0.39882634239581355,0.852240232280207,0.7698299506308283,0.42457487657707077,0.35719894494347454,0.36929626753116984,0.39882634239581355,0.852240232280207,0.7698299506308283,0.42457487657707077,subject_13,42,1,31,31,True,"1,2,3,4,5,6,7,8,9,10,11,12,14,15,16",13,13,26664,1823,1823
0.26988480526604497,0.253006446691341,0.27030582490854294,0.29005801661406383,0.8212293679237541,0.7079539221064179,0.26988480526604497,0.253006446691341,0.27030582490854294,0.29005801661406383,0.8212293679237541,0.7079539221064179,0.26988480526604497,subject_14,42,2,32,32,True,"1,2,3,4,5,6,7,8,9,10,11,12,13,15,16",14,14,26664,1823,1823
0.33571036752605593,0.290375815719148,0.29462129649063384,0.30832703297559083,0.8299634275694704,0.7342841470104224,0.33571036752605593,0.290375815719148,0.29462129649063384,0.30832703297559083,0.8299634275694704,0.7342841470104224,0.33571036752605593,subject_15,42,26,56,56,True,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,16",15,15,26664,1823,1823
0.28414701042238066,0.27107036484795993,0.3615868865453963,0.3036089818735034,0.8223331650804424,0.7136588041689522,0.28414701042238066,0.27107036484795993,0.3615868865453963,0.3036089818735034,0.8223331650804424,0.7136588041689522,0.28414701042238066,subject_16,42,2,32,32,True,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",16,16,26664,1823,1823
