accuracy,f1,precision,sensitivity,specificity,class_accuracy,best_val_accuracy,best_val_f1,best_val_precision,best_val_sensitivity,best_val_specificity,best_val_class_accuracy,final_accuracy,split,seed,best_epoch,stopped_epoch,epochs_ran,early_stopped,train_subjects,val_subjects,test_subjects,train_count,val_count,test_count
0.32375249500998005,0.2050683668393531,0.17752778749868992,0.2983853552563953,0.7680700578047185,0.66187624750499,0.32375249500998005,0.2050683668393531,0.17752778749868992,0.2983853552563953,0.7680700578047185,0.66187624750499,0.32375249500998005,subject_01,42,38,68,68,True,"2,3,4,5,6,7,8,9,10,11,12,13,14,15",1,1,35070,2505,2505
0.45748502994011975,0.36615145622168727,0.5909904373032433,0.431074099983655,0.8148375077372674,0.7287425149700599,0.45748502994011975,0.36615145622168727,0.5909904373032433,0.431074099983655,0.8148375077372674,0.7287425149700599,0.45748502994011975,subject_02,42,27,57,57,True,"1,3,4,5,6,7,8,9,10,11,12,13,14,15",2,2,35070,2505,2505
0.3648702594810379,0.293827579711996,0.34884191608611714,0.3961790677045775,0.7934341175032807,0.682435129740519,0.3648702594810379,0.293827579711996,0.34884191608611714,0.3961790677045775,0.7934341175032807,0.682435129740519,0.3648702594810379,subject_03,42,51,81,81,True,"1,2,4,5,6,7,8,9,10,11,12,13,14,15",3,3,35070,2505,2505
0.41317365269461076,0.2915930626633517,0.4549206309586987,0.3813961513437144,0.7988471498563667,0.7065868263473054,0.41317365269461076,0.2915930626633517,0.4549206309586987,0.3813961513437144,0.7988471498563667,0.7065868263473054,0.41317365269461076,subject_04,42,26,56,56,True,"1,2,3,5,6,7,8,9,10,11,12,13,14,15",4,4,35070,2505,2505
0.36846307385229543,0.3097947644671737,0.35731367683324977,0.35829409623411557,0.7872167622726929,0.6842315369261477,0.36846307385229543,0.3097947644671737,0.35731367683324977,0.35829409623411557,0.7872167622726929,0.6842315369261477,0.36846307385229543,subject_05,42,22,52,52,True,"1,2,3,4,6,7,8,9,10,11,12,13,14,15",5,5,35070,2505,2505
0.3389221556886228,0.29259919960792646,0.251686010826993,0.34998049321795055,0.7808191963477806,0.6694610778443114,0.3389221556886228,0.29259919960792646,0.251686010826993,0.34998049321795055,0.7808191963477806,0.6694610778443114,0.3389221556886228,subject_06,42,2,32,32,True,"1,2,3,4,5,7,8,9,10,11,12,13,14,15",6,6,35070,2505,2505
0.43912175648702595,0.3653418485619656,0.3267900523922118,0.43755486217266937,0.8123748660804827,0.719560878243513,0.43912175648702595,0.3653418485619656,0.3267900523922118,0.43755486217266937,0.8123748660804827,0.719560878243513,0.43912175648702595,subject_07,42,18,48,48,True,"1,2,3,4,5,6,8,9,10,11,12,13,14,15",7,7,35070,2505,2505
0.3652694610778443,0.23934407185804718,0.19157673756896493,0.3359965145959393,0.7820194040244004,0.6826347305389222,0.3652694610778443,0.23934407185804718,0.19157673756896493,0.3359965145959393,0.7820194040244004,0.6826347305389222,0.3652694610778443,subject_08,42,62,92,92,True,"1,2,3,4,5,6,7,9,10,11,12,13,14,15",8,8,35070,2505,2505
0.350499001996008,0.23647134965212768,0.19537007496068265,0.3532285528548096,0.7830705464772778,0.675249500998004,0.350499001996008,0.23647134965212768,0.19537007496068265,0.3532285528548096,0.7830705464772778,0.675249500998004,0.350499001996008,subject_09,42,79,109,109,True,"1,2,3,4,5,6,7,8,10,11,12,13,14,15",9,9,35070,2505,2505
0.36447105788423156,0.3296887685115198,0.39200201482339636,0.3641820171118267,0.7871229386332154,0.6822355289421158,0.36447105788423156,0.3296887685115198,0.39200201482339636,0.3641820171118267,0.7871229386332154,0.6822355289421158,0.36447105788423156,subject_10,42,8,38,38,True,"1,2,3,4,5,6,7,8,9,11,12,13,14,15",10,10,35070,2505,2505
0.3201596806387226,0.24604192790113327,0.31868837707003234,0.2988027745828133,0.7679462076425311,0.6600798403193613,0.3201596806387226,0.24604192790113327,0.31868837707003234,0.2988027745828133,0.7679462076425311,0.6600798403193613,0.3201596806387226,subject_11,42,11,41,41,True,"1,2,3,4,5,6,7,8,9,10,12,13,14,15",11,11,35070,2505,2505
0.3201596806387226,0.2342692674788542,0.2480268259712048,0.29876048889409973,0.767656003946174,0.6600798403193613,0.3201596806387226,0.2342692674788542,0.2480268259712048,0.29876048889409973,0.767656003946174,0.6600798403193613,0.3201596806387226,subject_12,42,15,45,45,True,"1,2,3,4,5,6,7,8,9,10,11,13,14,15",12,12,35070,2505,2505
0.2774451097804391,0.1478093675961363,0.19578592006659043,0.25591530206790286,0.7522013943314727,0.6387225548902196,0.2774451097804391,0.1478093675961363,0.19578592006659043,0.25591530206790286,0.7522013943314727,0.6387225548902196,0.2774451097804391,subject_13,42,15,45,45,True,"1,2,3,4,5,6,7,8,9,10,11,12,14,15",13,13,35070,2505,2505
0.2946107784431138,0.18772013980299432,0.23071838260341193,0.2755636425777789,0.7598722658633936,0.6473053892215568,0.2946107784431138,0.18772013980299432,0.23071838260341193,0.2755636425777789,0.7598722658633936,0.6473053892215568,0.2946107784431138,subject_14,42,8,38,38,True,"1,2,3,4,5,6,7,8,9,10,11,12,13,15",14,14,35070,2505,2505
0.3724550898203593,0.25353101115234583,0.2615421008097141,0.343203024918211,0.7848319441415319,0.6862275449101796,0.3724550898203593,0.25353101115234583,0.2615421008097141,0.343203024918211,0.7848319441415319,0.6862275449101796,0.3724550898203593,subject_15,42,4,34,34,True,"1,2,3,4,5,6,7,8,9,10,11,12,13,14",15,15,35070,2505,2505
