dataset,noise_type,NL,model,accuracy,accuracy_percent
SEED,Gaussian,0.0,DA-SNN,0.9685,96.85000000000001
SEED,Gaussian,0.0,DH-SNN,0.9654,96.54
SEED,Gaussian,0.0,EEGNet,0.9134,91.34
SEED,Gaussian,0.01,DA-SNN,0.9636,96.36
SEED,Gaussian,0.01,DH-SNN,0.9616,96.16
SEED,Gaussian,0.01,EEGNet,0.9114,91.14
SEED,Gaussian,0.03,DA-SNN,0.9544,95.44
SEED,Gaussian,0.03,DH-SNN,0.9507,95.07
SEED,Gaussian,0.03,EEGNet,0.9045,90.45
SEED,Gaussian,0.05,DA-SNN,0.9462,94.62
SEED,Gaussian,0.05,DH-SNN,0.9313,93.13
SEED,Gaussian,0.05,EEGNet,0.8786,87.86
SEED,Gaussian,0.08,DA-SNN,0.9341,93.41000000000001
SEED,Gaussian,0.08,DH-SNN,0.9118,91.18
SEED,Gaussian,0.08,EEGNet,0.8545,85.45
SEED,Gaussian,0.1,DA-SNN,0.9068,90.68
SEED,Gaussian,0.1,DH-SNN,0.8857,88.57000000000001
SEED,Gaussian,0.1,EEGNet,0.8509,85.09
SEED,Gaussian,0.125,DA-SNN,0.8845,88.44999999999999
SEED,Gaussian,0.125,DH-SNN,0.8448,84.48
SEED,Gaussian,0.125,EEGNet,0.8215,82.15
SEED,Drift,0.0,DA-SNN,0.9685,96.85000000000001
SEED,Drift,0.0,DH-SNN,0.9654,96.54
SEED,Drift,0.0,EEGNet,0.9134,91.34
SEED,Drift,0.01,DA-SNN,0.9665,96.65
SEED,Drift,0.01,DH-SNN,0.9645,96.45
SEED,Drift,0.01,EEGNet,0.9125,91.25
SEED,Drift,0.03,DA-SNN,0.9582,95.82000000000001
SEED,Drift,0.03,DH-SNN,0.9556,95.56
SEED,Drift,0.03,EEGNet,0.9099,90.99000000000001
SEED,Drift,0.05,DA-SNN,0.9556,95.56
SEED,Drift,0.05,DH-SNN,0.9419,94.19
SEED,Drift,0.05,EEGNet,0.8998,89.98
SEED,Drift,0.08,DA-SNN,0.9369,93.69
SEED,Drift,0.08,DH-SNN,0.9184,91.84
SEED,Drift,0.08,EEGNet,0.8815,88.14999999999999
SEED,Drift,0.1,DA-SNN,0.9368,93.67999999999999
SEED,Drift,0.1,DH-SNN,0.9135,91.35
SEED,Drift,0.1,EEGNet,0.8644,86.44
SEED,Drift,0.125,DA-SNN,0.9187,91.86999999999999
SEED,Drift,0.125,DH-SNN,0.8799,87.99
SEED,Drift,0.125,EEGNet,0.8549,85.49
SEED,EMG,0.0,DA-SNN,0.9685,96.85000000000001
SEED,EMG,0.0,DH-SNN,0.9654,96.54
SEED,EMG,0.0,EEGNet,0.9134,91.34
SEED,EMG,0.01,DA-SNN,0.9671,96.71
SEED,EMG,0.01,DH-SNN,0.9594,95.94
SEED,EMG,0.01,EEGNet,0.9059,90.59
SEED,EMG,0.03,DA-SNN,0.9605,96.05
SEED,EMG,0.03,DH-SNN,0.9549,95.49
SEED,EMG,0.03,EEGNet,0.8733,87.33
SEED,EMG,0.05,DA-SNN,0.9591,95.91
SEED,EMG,0.05,DH-SNN,0.9247,92.47
SEED,EMG,0.05,EEGNet,0.8575,85.75
SEED,EMG,0.08,DA-SNN,0.9399,93.99
SEED,EMG,0.08,DH-SNN,0.9084,90.84
SEED,EMG,0.08,EEGNet,0.8485,84.85000000000001
SEED,EMG,0.1,DA-SNN,0.9097,90.97
SEED,EMG,0.1,DH-SNN,0.8745,87.45
SEED,EMG,0.1,EEGNet,0.8371,83.71
SEED,EMG,0.125,DA-SNN,0.8843,88.42999999999999
SEED,EMG,0.125,DH-SNN,0.8404,84.04
SEED,EMG,0.125,EEGNet,0.8202,82.02000000000001
DEAP,Gaussian,0.0,DA-SNN,0.8796,87.96000000000001
DEAP,Gaussian,0.0,DH-SNN,0.7575,75.75
DEAP,Gaussian,0.0,EEGNet,0.8175,81.75
DEAP,Gaussian,0.01,DA-SNN,0.8793,87.92999999999999
DEAP,Gaussian,0.01,DH-SNN,0.7462,74.62
DEAP,Gaussian,0.01,EEGNet,0.8133,81.33
DEAP,Gaussian,0.03,DA-SNN,0.8719,87.19
DEAP,Gaussian,0.03,DH-SNN,0.7449,74.49
DEAP,Gaussian,0.03,EEGNet,0.8103,81.03
DEAP,Gaussian,0.05,DA-SNN,0.8652,86.52
DEAP,Gaussian,0.05,DH-SNN,0.7124,71.24000000000001
DEAP,Gaussian,0.05,EEGNet,0.7883,78.83
DEAP,Gaussian,0.08,DA-SNN,0.8475,84.75
DEAP,Gaussian,0.08,DH-SNN,0.6814,68.14
DEAP,Gaussian,0.08,EEGNet,0.7883,78.83
DEAP,Gaussian,0.1,DA-SNN,0.8194,81.94
DEAP,Gaussian,0.1,DH-SNN,0.661,66.10000000000001
DEAP,Gaussian,0.1,EEGNet,0.7728,77.28
DEAP,Gaussian,0.125,DA-SNN,0.8189,81.89
DEAP,Gaussian,0.125,DH-SNN,0.6581,65.81
DEAP,Gaussian,0.125,EEGNet,0.7423,74.22999999999999
DEAP,Drift,0.0,DA-SNN,0.8796,87.96000000000001
DEAP,Drift,0.0,DH-SNN,0.7575,75.75
DEAP,Drift,0.0,EEGNet,0.8175,81.75
DEAP,Drift,0.01,DA-SNN,0.8791,87.91
DEAP,Drift,0.01,DH-SNN,0.7562,75.62
DEAP,Drift,0.01,EEGNet,0.8171,81.71000000000001
DEAP,Drift,0.03,DA-SNN,0.8788,87.88
DEAP,Drift,0.03,DH-SNN,0.7512,75.12
DEAP,Drift,0.03,EEGNet,0.8136,81.36
DEAP,Drift,0.05,DA-SNN,0.873,87.3
DEAP,Drift,0.05,DH-SNN,0.7221,72.21
DEAP,Drift,0.05,EEGNet,0.8102,81.02000000000001
DEAP,Drift,0.08,DA-SNN,0.865,86.5
DEAP,Drift,0.08,DH-SNN,0.7169,71.69
DEAP,Drift,0.08,EEGNet,0.7979,79.79
DEAP,Drift,0.1,DA-SNN,0.8544,85.44
DEAP,Drift,0.1,DH-SNN,0.696,69.6
DEAP,Drift,0.1,EEGNet,0.7943,79.43
DEAP,Drift,0.125,DA-SNN,0.8425,84.25
DEAP,Drift,0.125,DH-SNN,0.6862,68.62
DEAP,Drift,0.125,EEGNet,0.7666,76.66
DEAP,EMG,0.0,DA-SNN,0.8796,87.96000000000001
DEAP,EMG,0.0,DH-SNN,0.7575,75.75
DEAP,EMG,0.0,EEGNet,0.8175,81.75
DEAP,EMG,0.01,DA-SNN,0.8761,87.61
DEAP,EMG,0.01,DH-SNN,0.7556,75.56
DEAP,EMG,0.01,EEGNet,0.8142,81.42
DEAP,EMG,0.03,DA-SNN,0.8616,86.16
DEAP,EMG,0.03,DH-SNN,0.7386,73.86
DEAP,EMG,0.03,EEGNet,0.8129,81.28999999999999
DEAP,EMG,0.05,DA-SNN,0.8604,86.04
DEAP,EMG,0.05,DH-SNN,0.7337,73.37
DEAP,EMG,0.05,EEGNet,0.8126,81.26
DEAP,EMG,0.08,DA-SNN,0.8281,82.80999999999999
DEAP,EMG,0.08,DH-SNN,0.7057,70.57
DEAP,EMG,0.08,EEGNet,0.7903,79.03
